56656 10 0
56656 20 4
56656 30 13
56656 40 27
56656 50 27
56656 60 28
27975 10 1
27975 20 4
27975 30 10
27975 40 21
27975 50 27
27975 60 38
73409 10 0
73409 20 5
73409 30 20
73409 40 26
73409 50 25
73409 60 24
27506 10 1
27506 20 5
27506 30 14
27506 40 27
27506 50 29
27506 60 25
27464 10 1
27464 20 5
27464 30 13
27464 40 29
27464 50 28
27464 60 25
27879 10 1
27879 20 4
27879 30 17
27879 40 23
27879 50 25
27879 60 30
27473 10 2
27473 20 6
27473 30 15
27473 40 28
27473 50 29
27473 60 21
74216 10 0
74216 20 12
74216 30 19
74216 40 25
74216 50 24
74216 60 20
76190 10 1
76190 20 7
76190 30 12
76190 40 18
76190 50 26
76190 60 37
72053 10 0
72053 20 6
72053 30 14
72053 40 21
72053 50 25
72053 60 33
56783 10 1
56783 20 6
56783 30 16
56783 40 29
56783 50 25
56783 60 23
34241 10 1
34241 20 7
34241 30 18
34241 40 29
34241 50 27
34241 60 17
74771 10 1
74771 20 7
74771 30 17
74771 40 28
74771 50 22
74771 60 25
27714 10 1
27714 20 3
27714 30 11
27714 40 19
27714 50 30
27714 60 37
27374 10 1
27374 20 6
27374 30 15
27374 40 27
27374 50 28
27374 60 23
56674 10 1
56674 20 4
56674 30 10
56674 40 35
56674 50 28
56674 60 22
27524 10 1
27524 20 5
27524 30 13
27524 40 25
27524 50 28
27524 60 27
56768 10 1
56768 20 7
56768 30 15
56768 40 25
56768 50 27
56768 60 25
56690 10 1
56690 20 5
56690 30 13
56690 40 28
56690 50 30
56690 60 24
27469 10 0
27469 20 5
27469 30 12
27469 40 24
27469 50 27
27469 60 32
27616 10 0
27616 20 4
27616 30 16
27616 40 24
27616 50 27
27616 60 28
56791 10 1
56791 20 5
56791 30 13
56791 40 25
56791 50 27
56791 60 30
74755 10 1
74755 20 7
74755 30 16
74755 40 32
74755 50 28
74755 60 15
72059 10 1
72059 20 5
72059 30 12
72059 40 19
72059 50 25
72059 60 38
56778 10 2
56778 20 6
56778 30 13
56778 40 24
56778 50 31
56778 60 24
73399 10 1
73399 20 8
73399 30 22
73399 40 27
73399 50 25
73399 60 18
27463 10 1
27463 20 3
27463 30 18
27463 40 29
27463 50 29
27463 60 20
56796 10 1
56796 20 4
56796 30 8
56796 40 15
56796 50 32
56796 60 39
56628 10 1
56628 20 8
56628 30 18
56628 40 29
56628 50 23
56628 60 21
34510 10 1
34510 20 7
34510 30 17
34510 40 29
34510 50 28
34510 60 18
27547 10 1
27547 20 6
27547 30 15
27547 40 25
27547 50 28
27547 60 25
76191 10 1
76191 20 6
76191 30 14
76191 40 24
76191 50 27
76191 60 29
56753 10 1
56753 20 6
56753 30 14
56753 40 30
56753 50 24
56753 60 26
27311 10 2
27311 20 8
27311 30 15
