category_id press_id journalist_id name subscribers_count articles_count cheer_counts
1 437 34677 최수연 4377 0 0
1 437 15062 김필규 1634 0 0
1 437 76946 조해언 866 0 0
1 437 78856 함민정 406 0 0
1 437 47331 서효정 2038 0 0
1 437 76941 이해선 1058 11 0
1 437 78289 김안수 470 11 0
1 437 76948 박현주 685 0 0
1 437 47494 박병현 1138 0 0
1 437 47412 박창규 703 0 0
1 437 71558 최재원 979 0 0
1 437 78066 오승렬 509 0 0
1 437 77661 김현예 549 0 0
1 437 50636 김민관 2027 0 0
1 437 33911 임지수 3632 0 0
1 437 16117 최규진 1644 0 0
1 437 15056 성화선 1287 0 0
1 437 70826 조보경 2478 0 0
1 437 30573 유선의 1806 0 0
1 437 16134 전영희 390 0 0
1 437 76121 김연지 70 0 0
1 437 15052 성문규 321 0 0
1 437 71557 김태형 1369 0 0
1 437 47340 이지은 1035 0 0
1 437 16081 이새누리 840 0 0
1 437 15473 이희정 3056 0 0
1 437 15032 오대영 5727 0 0
1 437 15449 이지은 1446 0 0
1 437 15041 조택수 577 0 0
1 437 15537 김지아 2698 0 0
1 437 15458 박성태 4528 0 0
1 437 74290 김서연 860 0 0
1 437 74286 백다혜 1129 0 0
1 437 15042 서복현 8288 0 0
1 437 50810 신경진 288 0 0
1 437 16091 고석승 2103 0 0
1 437 15017 안의근 1052 0 0
1 437 16120 이선화 4710 0 0
1 437 16087 이윤석 1546 0 0
1 437 15448 송지혜 2310 0 0
1 437 15467 정용환 1835 0 0
1 437 15028 김백기 312 0 0
1 437 16089 안나경 3796 0 0
1 437 15460 이상복 548 0 0
1 437 74291 최승훈 954 0 0
1 437 15023 양원보 3528 0 0
1 437 74288 유요한 861 0 0
1 437 70118 문상혁 554 0 0
1 437 15055 유미혜 1064 0 0
1 437 47384 김필준 1659 0 0
1 437 58235 이지혜 936 0 0
1 437 15053 심수미 8753 0 0
1 437 15027 임소라 3817 0 0
1 437 15540 박영우 1487 0 0
1 437 65294 김영주 1186 0 0
1 437 50635 서준석 1296 0 0
1 437 71560 신아람 1239 0 0
1 437 16093 황남희 450 0 0
1 437 76969 장서윤 617 0 0
1 437 50609 김나한 1512 0 0
1 437 71554 여성국 369 0 0
1 437 15046 이정엽 400 0 0
1 437 15015 송민교 1130 0 0
1 437 76667 홍희정 482 0 0
1 437 74284 박현영 42 0 0
1 437 15465 최충일 643 0 0
1 437 47484 이태경 458 0 0
1 437 76952 이가람 508 0 0
1 437 75321 윤정민 289 0 0
1 437 75322 이근평 402 0 0
1 437 15063 윤설영 3016 0 0
1 437 76129 김진경 22 0 0
1 437 15081 이성대 2245 0 0
1 437 15439 이승필 502 0 0
1 437 35724 권근영 236 0 0
1 437 47417 전다빈 1682 0 0
1 437 16099 봉지욱 1400 0 0
1 437 78112 라정주 33 0 0
1 437 16082 김혜미 2131 0 0
1 437 15038 김소현 1983 0 0
1 437 76126 황지영 5390 0 0
1 437 15452 손용석 116 0 0
1 437 76147 김영민 365 0 0
1 437 15077 손석희 58900 0 0
1 437 74285 임종주 430 0 0
1 437 50634 윤재영 1702 0 0
1 437 76127 박상우 2354 0 0
1 437 70109 오효정 742 0 0
1 437 50590 어환희 1316 0 0
1 437 75324 정용환 268 0 0
1 437 75323 박태인 561 0 0
1 437 75320 김지아 434 0 0
1 437 36091 백일현 352 0 0
1 437 15076 조민진 309 0 0
1 437 16101 이승녕 37 0 0
1 437 15075 남궁욱 208 0 0
1 437 16116 박현주 2120 0 0
1 437 15469 김선미 638 0 0
1 437 35683 정강현 176 0 0
1 437 15035 부소현 1343 0 0
1 437 33836 김민아 758 0 0
1 437 16124 백수진 285 0 0
1 437 15025 이현 1411 0 0
1 437 29449 허진 183 0 0
1 437 38003 김성탁 309 0 0
1 437 55247 정효식 169 0 0
1 437 59697 서봉원 73 0 0
1 437 15447 김진일 1169 0 0
1 437 15443 김현기 277 0 0
1 437 58431 심재우 75 0 0
1 437 50163 한정훈 73 0 0
1 437 16110 박용길 310 0 0
1 437 71556 김준영 62 0 0
1 437 63058 정나래 149 0 0
1 437 47330 조수애 256 0 0
1 437 15014 손광균 517 0 0
1 437 15454 이유정 98 0 0
1 437 16098 전진배 115 0 0
1 437 59727 김기중 70 0 0
1 437 47405 조민근 38 0 0
1 437 15071 임진택 145 0 0
1 437 68071 유덕상 25 0 0
1 437 16096 주정완 36 0 0
1 437 15472 박성준 35 0 0
1 437 16097 예영준 29 0 0
1 437 15536 고정애 44 0 0
1 437 15463 이상렬 39 0 0
1 437 15040 김상진 175 0 0
1 437 16100 장정훈 108 0 0
1 437 15550 백창현 25 0 0
1 437 15067 구동회 26 0 0
1 437 16115 정상경 28 0 0
1 437 15082 한윤지 39 0 0
1 437 16090 김승현 22 0 0
1 437 15050 장혜수 25 0 0
1 437 15072 인윤정 25 0 0
1 437 15065 김수산 37 0 0
1 437 15474 이선민 22 0 0
1 437 16119 공다훈 26 0 0
1 437 15084 송지영 178 0 0
1 437 15533 최상연 21 0 0
1 437 16109 신예리 138 0 0
1 437 16085 정진규 24 0 0
1 437 15030 오지현 22 0 0
1 437 15437 정진우 24 0 0
1 437 15450 김관 89 0 0
1 437 15029 유재연 25 0 0
1 437 16108 김형구 22 0 0
1 437 16107 고성표 28 0 0
1 437 15026 김경미 44 0 0
1 437 15455 정종훈 22 0 0
1 437 15466 손국희 28 0 0
6 660 77059 고우리 1499 82 0
6 660 77083 구영슬 814 98 0
6 660 79269 박준수 0 107 0
6 660 77026 이상환 0 53 0
6 660 77028 조윤정 632 105 0
6 660 77098 정지용 0 144 0
6 660 79695 임경섭 257 69 0
6 660 77017 김재현 0 51 0
6 660 79228 고익수 289 177 0
6 660 77019 정의진 0 88 0
6 660 77022 신민지 1122 117 0
6 660 77085 이형길 752 58 0
6 660 77031 박성호 0 62 0
6 660 77203 박승현 769 48 0
6 660 79263 김옥조 217 85 0
6 660 79869 유재광 0 40 0
6 660 77096 강동일 222 22 0
6 660 79786 최용석 0 0 0
6 660 79694 고영민 287 63 0
6 660 77020 임소영 0 18 0
6 660 77018 정경원 837 57 0
6 660 77084 이동근 0 69 0
6 660 77095 최복수 50 0 0
6 660 77412 김효성 0 0 0
6 660 77021 이계혁 0 0 0
6 660 78869 박성열 117 0 0
6 660 77100 염필호 43 0 0
6 660 77108 김영휘 79 0 0
6 660 77113 김형수 0 0 0
6 660 77099 장창건 137 0 0
1 056 78976 추재훈 382 73 0
1 056 18286 신선민 1740 84 0
1 056 18166 조태흠 1216 71 0
1 056 18246 이정훈 1027 60 0
1 056 72225 이유민 2023 74 0
1 056 18335 정창환 135 60 0
1 056 18411 정면구 511 80 0
1 056 78971 이유진 242 65 0
1 056 18389 김영준 321 141 0
1 056 18417 조연주 282 59 0
1 056 74875 정상빈 464 80 0
1 056 18397 주아랑 318 92 0
1 056 18215 박중관 163 62 0
1 056 18504 김계애 449 87 0
1 056 73775 김영록 495 52 0
1 056 67840 김성수 744 0 0
1 056 18395 조빛나 908 47 0
1 056 18823 정윤섭 248 23 0
1 056 18299 오세균 448 10 0
1 056 18168 이정민 655 51 0
1 056 18136 최영윤 638 58 0
1 056 72231 안다영 1201 39 0
1 056 18344 김연주 152 43 0
1 056 18871 문영규 549 16 0
1 056 78974 진선민 390 86 0
1 056 71533 최유경 2236 78 0
1 056 18833 신강문 243 0 0
1 056 18184 성용희 703 42 0
1 056 18182 송민석 162 36 0
1 056 18454 이용순 210 29 0
1 056 18436 홍정표 391 31 0
1 056 72108 백상현 678 64 0
1 056 78960 김예은 237 40 0
1 056 18428 조정아 393 56 0
1 056 76666 정재훈 324 64 0
1 056 72347 한솔 669 24 0
1 056 18170 하초희 349 50 0
1 056 76955 김문영 137 59 0
1 056 79049 안승길  120 0
1 056 18812 조경모 211 161 0
1 056 18402 양창희 497 98 0
1 056 18339 유승용 370 52 0
1 056 78965 손민주 297 100 0
